accion_id,eje_id,eje_completo,objetivo_estrategico,area_programa,titulo_accion,descripcion,indicadores,linea_base_2024,meta_2028,meta_2035,plazo_codigo,plazo_completo,responsable_principal,responsable_completo,financiamiento_principal,financiamiento_completo,ods_principal,ods_total_n,beneficia_nna,beneficia_mujeres,beneficia_adulto_mayor,beneficia_discapacidad,es_inclusiva
1,1,"Eje 1: Cultura, Turismo, Deportes, Recreación y Bienestar Social (Salud)","OE 1.1 Desarrollar Plan de Turismo Rural, Patrimonial y Enoturístico",Cultura y Turismo,"Desarrollo del Turismo Local ""De las Regiones a Rengo: Alianza Comunal""","Establecer alianzas turísticas con comunas y regiones para posicionar a Rengo como destino de fin de semana, generando circuitos integrados y paquetes turísticos.",Visitantes provenientes de alianzas; Ingresos turísticos; Alianzas formalizadas; Satisfacción visitantes,0 alianzas turísticas intercomunales,3 alianzas; 2.000 visitantes nuevos,6 alianzas; 10.000 visitantes/año; $150M ingresos,M,Mediano (2028-2032),Oficina Turismo,Oficina Turismo + SECPLAN,Municipal,Municipal + SERNATUR + GORE + Privados,8,3,0,0,0,0,0
2,,,,Cultura y Turismo,Desarrollo del Turismo Patrimonial,"Identificar, crear y difundir rutas de turismo patrimonial que vinculen edificaciones históricas, sitios arqueológicos y tradiciones locales, promoviendo la conservación y el turismo cultural.",Rutas patrimoniales establecidas; Visitantes en rutas; Ingresos por turismo patrimonial; Estado de conservación de sitios,0 rutas patrimoniales formales,2 rutas; 1.500 visitantes,5 rutas; 6.000 visitantes/año; 80% sitios en buen estado,M,Mediano (2028-2032),Oficina Turismo,Oficina Turismo + SECPLAN,Municipal,Municipal + CMN + SERNATUR + Fondart,8,3,0,0,0,0,0
3,,,,Cultura y Turismo,"Fomento al Turismo Local ""Descubriendo Rengo""","Promover el turismo local mediante campañas de difusión, alianzas estratégicas con operadores turísticos y creación de contenidos digitales que posicionan a Rengo como destino atractivo de la Región de O'Higgins.",Número de campañas realizadas; Visitantes anuales registrados; Ingresos por turismo local,0 campañas turísticas comunales estructuradas,3 campañas/año; 5.000 visitantes,6 campañas/año; 15.000 visitantes; $200M ingresos turísticos,C,Corto (2025-2028),Oficina Turismo,Oficina Turismo + SECPLAN,Municipal,Municipal + SERNATUR + GORE,8,3,0,0,0,0,0
4,,,,Cultura y Turismo,Parque Natural y Recreativo Huilquio de Rengo,"Diseñar y construir un parque natural con senderos, áreas de picnic, miradores y actividades al aire libre que integre naturaleza y recreación familiar en el sector Huilquio.",Superficie habilitada (la); Participación mensual; Actividades programadas,0 ha de parque natural comunal,Diseño terminado; 5 ha habilitadas,15 ha operativas; 30.000 visitas/año,L,Largo (2032-2035),SECPLAN,SECPLAN + DOM,FNDR,FNDR + GORE + Municipal,3,3,0,0,0,0,0
5,,,,Cultura y Turismo,Promoción del Pueblo Gastronómico de Saberes e Identidades de la Cuenca del Río Claro,"Posicionar la gastronomía tradicional como atractivo turístico, creando una marca territorial gastronómica con ferias, rutas culinarias y certificación de productos locales.",Visitantes gastronómicos; Eventos culinarios realizados; Ingresos de emprendedores gastronómicos,0 programas gastronómicos formales,4 eventos/año; 50 emprendedores vinculados,12 eventos/año; 100 emprendedores; marca territorial registrada,M,Mediano (2028-2032),Oficina Turismo,Oficina Turismo + DIDECO,Municipal,Municipal + INDAP + SERCOTEC + GORE,2,3,0,0,0,0,0
6,,,,Cultura y Turismo,Rutas Culturales y Naturales de Rengo,"Crear rutas turísticas culturales y naturales que integren patrimonio histórico, paisaje rural y biodiversidad de la cuenca del Río Claro, con señalética, mapas y plataforma digital.",Rutas creadas y señalizadas; Participación de visitantes; Impacto económico local; Satisfacción de usuarios,0 rutas formalizadas,3 rutas operativas; 2.000 visitantes,6 rutas consolidadas; 8.000 visitantes/año,M,Mediano (2028-2032),Oficina Turismo,Oficina Turismo + SECPLAN + DIDECO + OLN,FNDR,Municipal + FNDR + SERNATUR,8,3,1,0,0,0,1
7,,,OE 1.2 Fortalecer la Identidad Cultural y el Patrimonio Local,Cultura y Turismo,"Café Literario ""Rengo: Entre Cafés y Libros""","Crear un espacio de lectura, conversación y cultura en el centro de Rengo que fomente el hábito lector, la creación literaria y el encuentro ciudadano.",Eventos literarios realizados; Participación mensual; Ingresos por actividades; Satisfacción de usuarios,0 espacios literarios municipales,1 café literario operativo; 12 eventos/año,24 eventos/año; 2.000 participantes/año,M,Mediano (2028-2032),Oficina Turismo,Oficina Turismo + SECPLAN + DIDECO + OLN,Municipal,Municipal + CNCA + Fondart,4,3,1,0,0,0,1
8,,,,Cultura y Turismo,Evaluar Proyecto del Centro Cultural en Av. El Rodeo,"Evaluar Proyecto para un centro cultural de referencia en Av. El Rodeo que albergue salas de exposición, talleres artísticos, auditorio y espacios de creación para artistas locales.",Progreso de construcción (%); Actividades culturales programadas; Participación mensual,0% avance; sin centro cultural comunal,100% diseño; 30% construcción,100% construido; 120 actividades/año; 15.000 asistentes/año,L,Largo (2032-2035),Oficina Turismo,Oficina Turismo + SECPLAN + DIDECO + OLN,FNDR,FNDR + GORE + SUBDERE + Municipal,4,3,1,0,0,0,1
9,,,,Cultura y Turismo,Festival de los Saberes del Rio Claro: Rengo y Rosario,"Realizar un festival anual que celebra las tradiciones, gastronomía, artesanía y cultura del territorio asociado al Río Claro, integrando localidades de Rengo y Rosario.",Asistentes al festival; Satisfacción de participantes; Impacto económico local; Eventos culturales realizados,0 festivales temáticos del Río Claro,1 festival/año; 3.000 asistentes,1 festival consolidado; 8.000 asistentes; $50M impacto económico,C,Corto (2025-2028),DIDECO,DIDECO + Oficina Turismo,FNDR,Municipal + FNDR + GORE + Privados,8,3,0,0,0,0,0
10,,,,Cultura y Turismo,Promoción de la Identidad Cultural y Sentido Pertenencia del Territorio,"Desarrollar campañas de comunicación y actividades que fortalezcan el sentido de pertenencia e identidad cultural de los habitantes de Rengo, destacando tradiciones, personajes y lugares emblemáticos.",Campañas de identidad realizadas; Participación ciudadana; Impacto en sentido de pertenencia,0 campañas de identidad cultural,2 campañas/año; 5.000 alcance,4 campañas/año; 20.000 alcance; 70% reconocimiento,C,Corto (2025-2028),Oficina Turismo,Oficina Turismo + SECPLAN + DIDECO + OLN,Municipal,Municipal + CNCA,11,3,0,0,0,0,0
11,,,,Cultura y Turismo,"Recuperación de la Identidad Cultural ""Rengo Nuestra Historia Comunal""","Rescatar y preservar la identidad cultural e histórica de Rengo mediante proyectos de restauración patrimonial, registro de memoria oral y creación de archivo histórico comunal.",Proyectos de preservación ejecutados; Espacios patrimoniales restaurados; Participación comunitaria,0 proyectos de preservación patrimonial,3 proyectos; 2 espacios restaurados,8 proyectos; 5 espacios restaurados; archivo digital operativo,M,Mediano (2028-2032),Oficina Turismo,Oficina Turismo + SECPLAN + DIDECO + OLN,Municipal,Municipal + CNCA + Fondart + CMN,11,3,0,0,0,0,0
12,,,OE 1.2 Inventario y protección patrimonial,Cultura y Turismo,R7: Ordenanza de Protección del Patrimonio Cultural y Natural,"Crear ordenanza que proteja patrimonio agricola, vitivinicola, arquitectónico e inmaterial de Rengo.",Ordenanza patrimonial; catálogo,Sin ordenanza patrimonial,Ordenanza + catálogo completo,Evaluación estado cada 3 años,M,Mediano (2028-2032),DIDECO,DIDECO + Cultura + Jurídica,Municipal,Municipal + CMN,11,1,1,0,0,0,1
13,,,,Cultura y Turismo,Recuperación y Puesta en Valor del Teatro Municipal de Rengo,"Restaurar y modernizar el histórico Teatro Municipal como espacio de producción artística, eventos culturales y encuentro comunitario, preservando valor patrimonial e incorporando tecnología moderna y accesibilidad universal.",Progreso restauracion %; actividades/ano; asistentes,Teatro deteriorado; 10 registros BIP sin materialización,Diseño definitivo + inicio restauración,Teatro operativo + 50 eventos/ano + 10.000 asistentes,M,Mediano (2028-2032),SECPLAN,SECPLAN + DIDECO Cultura,FNDR,FNDR + CNCA + Municipal,11,1,1,0,0,0,1
14,,,OE 1.3 Ampliar infraestructura deportiva,Deportes y Bienestar,Parques Elige Vivir Sano: Circuitos Deportivos en Sectores Rurales,"Extender Elige Vivir Sano a localidades rurales (Popeta, Lo Cartagena, Chanqueahue, El Retiro) con estaciones de ejercicio adaptadas y monitores comunitarios.",N circuitos rurales; localidades cubiertas; participación,0 circuitos rurales,4 localidades con circuitos,10 localidades + monitores permanentes,M,Mediano (2028-2032),Oficina Turismo,Oficina Turismo + SECPLAN + DIDECO + OLN,FNDR,MINDEP + FNDR + Municipal,3,3,0,0,0,0,0
15,,,,Deportes y Bienestar,Parques Elige Vivir Sano: Infraestructura Deportiva Comunitaria,"Diseñar e instalar circuitos de actividad física al aire libre bajo el programa nacional Elige Vivir Sano (MINDEP) en las principales plazas de Rengo, Rosario y Esmeralda, con máquinas de ejercicio adaptadas para los 8.796 adultos mayores y 7.256 personas con discapacidad de la comuna, señalética de",N parques Elige Vivir Sano; m2 infraestructura deportiva; participación mensual,0 parques Elige Vivir Sano,"3 parques (Rengo, Rosario, Esmeralda)",6 parques + cobertura rural,C,Corto (2025-2028),Oficina Turismo,Oficina Turismo + SECPLAN + DIDECO + OLN,FNDR,MINDEP + FNDR + Municipal,3,2,0,0,1,1,1
215,,,OE 1.3 Fomentar la Recreación y Vida en Comunidad,Salud Recreación y Bienestar Social,"Actualizar las Organizaciones Funcionales y Territoriales con ""Matriz Territorial""","Implementar la Matriz Territorial Comunal como sistema de registro sistematizado de las 330 organizaciones funcionales y territoriales de Rengo, integrando variables de tipo organizacional, cobertura territorial, estado de vigencia y niveles de participación por Unidad Vecinal. La Matriz operará com",Organizaciones catastradas en la Matriz Territorial; % organizaciones con ficha actualizada anualmente; Plataforma digital de registro habilitada (S/N),Sin Matriz Territorial comunal sistematizada; datos organizacionales desactualizados,Matriz Territorial operativa con 100% de organizaciones registradas; actualización semestral,Plataforma digital integrada al sistema municipal; actualización continua; datos abiertos a la ciudadanía,C,Corto (2025-2028),DIDECO,DIDECO + Secretaría Municipal,Municipal,Municipal,11,3,0,0,0,0,0
216,,,,,Apoyar la Equidad Territorial y Organzicional,"Fomentar la Equidad Territorial y Organizacional mediante intervenciones diferenciadas en zonas que acumulan rezago por baja inversión institucional, escasa organización social y desigualdad en el crecimiento territorial. La iniciativa prioriza las 12 Unidades Vecinales rurales donde el 82% de los f",N° de zonas priorizadas con planes de intervención; % inversión en sectores rurales vs urbano; N° de proyectos ejecutados en zonas rezagadas,Sin mecanismo formal de equidad territorial; inversión concentrada en centro urbano de Rengo,3 programas de equidad territorial activos; 8 zonas priorizadas con intervención documentada,Brecha urbano-rural en inversión reducida en 30%; todas las 21 UVs con intervención mínima acreditada,C,Corto (2025-2028),DIDECO,DIDECO + SECPLAN + Alcaldía+ OLN,Municipal,Municipal + GORE + SUBDERE,10,3,0,0,0,0,0
217,,,,,"Promover Capacitaciones a las Organizaciones Funcionales y Territoriales: ""Rengo Participativo y Organizado""","Promover capacitaciones e instancias informativas para las organizaciones funcionales y territoriales de la comuna sobre mecanismos de financiamiento externo: postulación al 8% del FNDR, FONDEVE, subvenciones municipales, fondos del IND, SERNATUR y sectoriales del MINVU y MINEDUC. El programa inclui",N° talleres de capacitación realizados/año; N° organizaciones capacitadas; Monto total postulado a fondos externos; % proyectos aprobados por organizaciones,Sin programa formal de capacitación en postulación a fondos; organizaciones autofinanciadas,4 talleres anuales; 80 organizaciones capacitadas; 20 proyectos postulados a fondos externos,100 organizaciones/año capacitadas; materialización proyectos comunitarios >50%; red de formuladores comunitarios activa,C,Corto (2025-2028),DIDECO,DIDECO + SECPLAN + Secretaría Municipal,Municipal,Municipal + SUBDERE + GORE,11,3,0,0,0,0,0
